##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/17 23:38:08
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Temperature [ K ], Total Density [ kg m^-3 ], Total Pressure [ Pa ], Total Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
5.45502710e+00, -3.17500858e-03, 6.47094995e-02, 1.05548211e+05, 1.18644404e+00, 3.52943085e+02, 1.49268365e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.05548211e+05, 3.09860504e+02, 2.98084426e+00, 3.83425750e+05, 4.48028717e+02, 5.26831177e+02, 5.26772278e+02, -9.95858967e-01, -7.81344795e+00
5.44312191e+00, 3.17501067e-03, 6.47094995e-02, 9.29877188e+04, 1.07249033e+00, 3.48433197e+02, 1.55436778e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.29877188e+04, 3.01992249e+02, 2.87311721e+00, 3.69554531e+05, 4.48011414e+02, 5.41592957e+02, 5.41591614e+02, 9.59565938e-01, -7.48722136e-01
5.44312191e+00, -3.17500741e-03, 6.47094995e-02, 1.04680094e+05, 1.18045151e+00, 3.52380219e+02, 1.50042462e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.04680094e+05, 3.08872925e+02, 2.98962355e+00, 3.84558688e+05, 4.48033020e+02, 5.28719482e+02, 5.28643982e+02, -2.65015149e+00, -8.53086281e+00
5.43121576e+00, 3.17500951e-03, 6.47094995e-02, 9.25492734e+04, 1.06836057e+00, 3.48281982e+02, 1.55644846e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.25492734e+04, 3.01730286e+02, 2.86830473e+00, 3.68937344e+05, 4.48013580e+02, 5.42082703e+02, 5.42074036e+02, 1.55412340e+00, -2.64692473e+00
5.43121576e+00, -3.17500625e-03, 6.47094995e-02, 1.04687523e+05, 1.18057764e+00, 3.52373901e+02, 1.50052023e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.04687523e+05, 3.08861786e+02, 2.99023962e+00, 3.84639281e+05, 4.48034576e+02, 5.28744019e+02, 5.28629028e+02, -3.05224538e+00, -1.05946407e+01
5.41931105e+00, 3.17500811e-03, 6.47094995e-02, 9.17769844e+04, 1.06176519e+00, 3.47901276e+02, 1.56166935e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.17769844e+04, 3.01071014e+02, 2.86624885e+00, 3.68674594e+05, 4.48015594e+02, 5.43305725e+02, 5.43267456e+02, 2.08467817e+00, -6.10316944e+00
5.41931105e+00, -3.17500485e-03, 6.47094995e-02, 1.04410844e+05, 1.17787659e+00, 3.52311188e+02, 1.50138354e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.04410844e+05, 3.08751953e+02, 2.98606348e+00, 3.84102750e+05, 4.48035370e+02, 5.28953674e+02, 5.28770386e+02, -3.13409662e+00, -1.35667000e+01
5.40740490e+00, 3.17500695e-03, 6.47094995e-02, 8.95786719e+04, 1.04141259e+00, 3.47051056e+02, 1.57330239e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.95786719e+04, 2.99601379e+02, 2.84586954e+00, 3.66052875e+05, 4.48015167e+02, 5.46015137e+02, 5.45898132e+02, 1.62064564e+00, -1.11870394e+01
5.40740490e+00, -3.17500369e-03, 6.47094995e-02, 1.02669672e+05, 1.16158009e+00, 3.51802979e+02, 1.50836051e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.02669672e+05, 3.07861877e+02, 2.96609211e+00, 3.81535594e+05, 4.48037506e+02, 5.30645203e+02, 5.30338806e+02, -2.60349345e+00, -1.78403111e+01
5.39550018e+00, 3.17500578e-03, 6.47094995e-02, 9.10433438e+04, 1.05694664e+00, 3.47297058e+02, 1.56995380e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.10433438e+04, 3.00026093e+02, 2.87818098e+00, 3.70211656e+05, 4.48018402e+02, 5.45240234e+02, 5.45085449e+02, 5.30025101e+00, -1.18606901e+01
