##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/15 16:41:46
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
5.32470322e+00, 3.17532104e-03, 6.55393004e-02, 5.87394258e+04, 7.28009224e-01, 3.36123291e+02, 1.72210658e+00, 5.87394258e+04, 2.81031006e+02, 5.78839600e+02
5.32470322e+00, -3.17531778e-03, 6.55393004e-02, 1.32605391e+05, 1.38934481e+00, 3.65576843e+02, 1.31743407e+00, 1.32605391e+05, 3.32440735e+02, 4.81622833e+02
5.31343508e+00, 3.17569659e-03, 6.63691014e-02, 5.70098672e+04, 7.10130870e-01, 3.35280334e+02, 1.73355889e+00, 5.70098672e+04, 2.79623169e+02, 5.81226868e+02
5.31343508e+00, -3.17569333e-03, 6.63691014e-02, 1.33939906e+05, 1.39866364e+00, 3.66185883e+02, 1.30889559e+00, 1.33939906e+05, 3.33549316e+02, 4.79297821e+02
5.30216694e+00, 3.17607215e-03, 6.71989024e-02, 5.50353594e+04, 6.87343776e-01, 3.34839935e+02, 1.73940134e+00, 5.50353594e+04, 2.78889191e+02, 5.82401245e+02
5.30216694e+00, -3.17606889e-03, 6.71989024e-02, 1.35067719e+05, 1.40650702e+00, 3.66697784e+02, 1.30169976e+00, 1.35067719e+05, 3.34482574e+02, 4.77330383e+02
5.29089880e+00, 3.17644770e-03, 6.80287033e-02, 5.22535352e+04, 6.56679571e-01, 3.33798676e+02, 1.75359154e+00, 5.22535352e+04, 2.77157166e+02, 5.85346069e+02
5.29089880e+00, -3.17644444e-03, 6.80287033e-02, 1.34212719e+05, 1.39695466e+00, 3.66783051e+02, 1.30044746e+00, 1.34212719e+05, 3.34638062e+02, 4.76982056e+02
5.27963018e+00, 3.17745772e-03, 6.88584968e-02, 5.04273359e+04, 6.35481358e-01, 3.33337677e+02, 1.75959730e+00, 5.04273359e+04, 2.76392090e+02, 5.86531860e+02
5.27963018e+00, -3.17745446e-03, 6.88584968e-02, 1.34249094e+05, 1.39614701e+00, 3.66938538e+02, 1.29823780e+00, 1.34249094e+05, 3.34921875e+02, 4.76372833e+02
5.26836205e+00, 3.17783351e-03, 6.96882978e-02, 4.88984961e+04, 6.19663596e-01, 3.32407623e+02, 1.77230978e+00, 4.88984961e+04, 2.74852173e+02, 5.89119507e+02
5.26836205e+00, -3.17783025e-03, 6.96882978e-02, 1.32589594e+05, 1.38056386e+00, 3.66716095e+02, 1.30136240e+00, 1.32589594e+05, 3.34515930e+02, 4.77230499e+02
5.25709391e+00, 3.17733362e-03, 7.05180988e-02, 4.70763164e+04, 5.98277390e-01, 3.31935699e+02, 1.77860498e+00, 4.70763164e+04, 2.74072113e+02, 5.90379272e+02
5.25709391e+00, -3.17733036e-03, 7.05180988e-02, 1.31780516e+05, 1.37266231e+00, 3.66646301e+02, 1.30226493e+00, 1.31780516e+05, 3.34388702e+02, 4.77469971e+02
5.24582481e+00, 3.17721954e-03, 7.13478997e-02, 4.50948867e+04, 5.75282514e-01, 3.31303925e+02, 1.78699505e+00, 4.50948867e+04, 2.73029846e+02, 5.92037964e+02
5.24582481e+00, -3.17721628e-03, 7.13478997e-02, 1.30610938e+05, 1.35844660e+00, 3.66920502e+02, 1.29840422e+00, 1.30610938e+05, 3.34889008e+02, 4.76411133e+02
5.23455715e+00, 3.17639927e-03, 7.21777007e-02, 4.27862188e+04, 5.51571310e-01, 3.29569641e+02, 1.81075668e+00, 4.27862188e+04, 2.70179535e+02, 5.96765869e+02
5.23455715e+00, -3.17639601e-03, 7.21777007e-02, 1.30131750e+05, 1.34937561e+00, 3.67476105e+02, 1.29065216e+00, 1.30131750e+05, 3.35904022e+02, 4.74281860e+02
5.22328901e+00, 3.17557901e-03, 7.30075017e-02, 4.12934609e+04, 5.38798511e-01, 3.27589508e+02, 1.83781910e+00, 4.12934609e+04, 2.66942200e+02, 6.02047058e+02
5.22328901e+00, -3.17557575e-03, 7.30075017e-02, 1.29561711e+05, 1.33830833e+00, 3.68183350e+02, 1.28078461e+00, 1.29561711e+05, 3.37198364e+02, 4.71562256e+02
5.21202087e+00, 3.17499950e-03, 7.38373026e-02, 3.77982188e+04, 4.96397734e-01, 3.26531891e+02, 1.85210776e+00, 3.77982188e+04, 2.65221069e+02, 6.04764893e+02
5.21202087e+00, -3.17499624e-03, 7.38373026e-02, 1.26100469e+05, 1.29474115e+00, 3.69295624e+02, 1.26502848e+00, 1.26100469e+05, 3.39238708e+02, 4.67163513e+02
5.20075178e+00, 3.17499950e-03, 7.46671036e-02, 3.83469180e+04, 4.87629622e-01, 3.31836151e+02, 1.77867663e+00, 3.83469180e+04, 2.73907715e+02, 5.90229248e+02
5.20075178e+00, -3.17499624e-03, 7.46671036e-02, 1.31477750e+05, 1.32181418e+00, 3.73202423e+02, 1.20996249e+00, 1.31477750e+05, 3.46454102e+02, 4.51560852e+02
